prompt,  Substrate stack sequence,  ETL stack sequence,  ETL additives compounds,  ETL deposition procedure,  Perovskite_dimension_list_of_layers,  Perovskite composition long form,  Perovskite composition short form,  Perovskite additives compounds,  Perovskite additives concentrations,  Perovskite band gap,  Perovskite deposition solvents,  Perovskite deposition procedure,  Perovskite deposition thermal annealing temperature,  Perovskite deposition thermal annealing time,  Perovskite deposition solvents mixing ratios,  Perovskite deposition synthesis atmosphere,  Perovskite deposition aggregation state of reactants,  HTL stack sequence,  HTL additives compounds,  HTL deposition procedure,  Backcontact stack sequence,  Backcontact additives compounds,  Backcontact deposition procedure,  Cell architecture,  Cell semitransparent
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,PCBM-60 | BCP,Undoped | Undoped,Spin-coating | Evaporation,nan,Cs0.17FA0.75MA0.08PbBr0.39I2.61,CsFAMAPbBrI,Undoped,nan,1.61,DMF; DMSO,Spin-coating,60; 100,1.0; 60.0,4; 1,N2,Liquid,NiO-c,nan,Spin-coating,Ag,Undoped,Evaporation,pin,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-np,nan,Spin-coating,nan,FA0.85MA0.15PbBr0.45I2.55,FAMAPbBrI,CuCl2,2 mol%,1.53,DMF; DMSO,Spin-coating,100,10,4; 1,N2,Liquid,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,nan,Evaporation,nip,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-c,nan,Spin-coating,nan,MAPbI3,MAPbI,Cl,0.19,1.6,DMF,Spin-coating,100,45,1,N2,Liquid,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,nan,Evaporation,nip,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-c | TiO2-mp,nan | Li-TFSI,Spray-pyrolys | Spin-coating,nan,Cs0.05FA0.79MA0.16PbBr0.51I2.49,CsFAMAPbBrI,RbI,0.6,1.63,DMF; DMSO,Spin-coating,100,60,4; 1,N2,Liquid,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,nan,Evaporation,nip,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-c | TiO2-mp,nan,Spray-pyrolys | Spin-coating,nan,Cs0.3FA0.7PbI3,CsFAPbI,Cl,0.2,1.59,DMF; DMSO,Spin-coating,150,30,4; 1,Dry air,Liquid,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,nan,Evaporation,nip,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-c,Undoped,CBD,nan,MAPbI3,MAPbI,nan,nan,1.62,DMSO; GBL,Brush painting,100,10,3; 7,N2,Liquid,Spiro-MeOTAD | MoO3,Li-TFSI; TBP,Spin-coating | Evaporation,Ag,Undoped,Evaporation,nip,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | ITO,C60 | BCP,Undoped | Undoped,Evaporation | Evaporation,nan,MAPbI,MAPbI,Undoped,nan,1.58,DMF; DMSO,Spin-coating,100,60,4; 1,N2,Liquid,PTAA,Undoped,Spin-coating,Cu,Undoped,Evaporation,pin,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-c,nan,CBD,nan,MAPbI3,MAPbI,Undoped,nan,1.6,DMSO; GBL,Spin-coating,100,10,3; 7,N2,Liquid,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,Undoped,Evaporation,nip,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-c | TiO2-mp,nan,Spray-pyrolys | Spin-coating,nan,MAPbI3,MAPbI,Carbon-nt,0.1 mg/ml,1.6,DMF,Spin-coating,100,15,1,Air,Liquid,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,nan,Evaporation,nip,FALSE
Design a perovskite solar cell with 2500 power conversion efficiency under AM1.5 and 100 light intensity.,SLG | FTO,TiO2-c | TiO2-mp,Undoped | TiCl4,Spin-coating | Spin-coating,nan,CsPbBrF0.22I1.78,CsPbBrFI,HI,0.3 vol%,1.86,DMF; DMSO,Spin-coating,150,20,7; 3,N2,Liquid,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,Undoped,Evaporation,nip,FALSE
