MOF structural features and topology,composition,Cv_gravimetric_300.00 (gravimetric heat capacity at 300 K),pCv_250.00 (predicted gravimetric heat capacity at 250 K),pCv_275.00 (predicted gravimetric heat capacity at 275 K),pCv_300.00 (predicted gravimetric heat capacity at 300 K),pCv_325.00 (predicted gravimetric heat capacity at 325 K),pCv_350.00 (predicted gravimetric heat capacity at 350 K),pCv_375.00 (predicted gravimetric heat capacity at 375 K),pCv_400.00 (predicted gravimetric heat capacity at 400 K)
"linker [O-]C(=O)c1ccncc1, nodes [Cu], topology kgm,pcu",Cu2 H16 C24 N4 O8,0.845181896,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Zn], topology dmd",Zn6 H6 C24 O18,0.690649103,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Ni], topology pcu",Ni6 H6 C24 O18,0.713069679,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Mn], topology pcu",Mn6 H6 C24 O18,0.742935026,,,,,,,
"linker [N]1C=NN=C1, nodes Cl[Cd], Cl[Cd]Cl, [Cd], topology pcu",Cd6 H12 C12 N18 Cl6,0.512272809,,,,,,,
"linker COP(=O)(c1ccc(cc1)P(=O)(OC)[O])[O], nodes [Cu], topology pts,bex",Cu2 P4 H20 C16 O12,0.870048391,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Cd], topology nbo",Cd6 H6 C24 O18,0.54572684,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], n1cnn(c1)CCn1ncnc1, nodes [Cd], topology ",Cd2 H16 C22 N6 O8,0.745259778,,,,,,,
"linker [O-]C(=O)Cc1cc(CC(=O)[O-])cc(c1)CC(=O)[O-], nodes [Gd], topology ",Gd2 H18 C24 O12,0.660910534,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)n1cncc1)n1cncc1, nodes [Co], topology pcu",Co2 H18 C26 N8 O4,0.886918341,,,,,,,
"linker [O-]C(=O)CC(C(=O)[O-])N, n1cc(cc(c1)c1ccncc1)c1ccncc1, nodes [Ni], topology ",Ni2 H21 C23 N5 O8,0.890669452,,,,,,,
"linker [O-]C(=O)c1ccc(cc1c1cc(ccc1C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Zn], topology nor,",Zn4 H12 C32 O16,0.765187926,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Co], topology kgd,",Co6 H6 C24 N12 O18,0.802825749,,,,,,,
"linker [O-]C(=O)c1cc(C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-], nodes [Mn], topology sql,dmd",Mn2 H12 C36 O16,0.908266016,,,,,,,
"linker O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-], nodes [Co], topology rna",Co4 H12 C34 O18,0.812287627,,,,,,,
"linker O=N(=O)c1cc(ccc1Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-], nodes [Co][OH]1[Co][OH]([Co]1)[Co], topology ",Co4 H14 C30 N2 O20,0.825222945,,,,,,,
"linker O=C[C](c1ccncc1)C=O, nodes [Co], topology rtl",Co2 H24 C32 N4 O8,0.952753545,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Ga], [O], topology rna,pcu",Ga4 H16 C32 O20,0.795314824,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [Ga], [OH], topology ",Ga4 H16 C32 O20,0.808953888,,,,,,,
"linker [O]OC(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [In], topology ",In4 H12 C36 O28,0.684423051,,,,,,,
"linker [O-]C(=O)c1cnccn1, nodes [Zn], topology pcu",Zn2 H34 C36 N8 O4,0.965559867,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [In], [O], topology sra",In6 H8 C40 O36,0.664555524,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Fe], topology ",Fe6 H30 C30 O24,0.91340595,,,,,,,
"linker [O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-], nodes [Zn], topology ",Zn4 H24 C48 O16,0.820125808,,,,,,,
"linker [O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-], nodes [In], topology utp,",In4 H24 C48 N8 O16,0.732535376,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [In], topology nbo",In2 H28 C56 O16,0.843409061,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Fe][O]([Fe])[Fe], topology acs",Fe6 H24 C48 O26,0.854477993,,,,,,,
"linker Cc1[nH][n-]c(c1Cc1cccc(n1)Cc1c(C)[n-][nH]c1C)C, [C]#N, nodes [Cu], topology pcu",Cu6 H42 C40 N16,0.937748442,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [Fe][O]([Fe])[Fe], topology rna",Fe6 H28 C64 O30,0.844221619,,,,,,,
"linker C(Cn1nncn1)Cn1nncn1, nodes [Fe], topology pcu,",Fe2 H48 C30 N48,0.987516358,,,,,,,
"linker [O-]C(=O)C, [O-]C=O, nodes [Mn], topology pcu",Mn12 H40 C32 O48,0.897334191,,,,,,,
"linker O=C(c1ccc(c(c1)C(=O)[O-])C(=O)[O-])c1ccc(c(c1)C(=O)[O-])C(=O)[O-], nodes [Cd], topology ",Cd6 H24 C68 O36,0.739871388,,,,,,,
"linker [O-]C(=O)c1ccc2-c3c(C(c2c1)(C)C)cc(cc3)C(=O)[O-], nodes [Eu], topology dmd",Eu4 H48 C68 O16,0.763143177,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])n1c(C)nnc1c1ncccn1, nodes [Co], topology rna",Co4 H36 C60 N20 O16,0.899010694,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(c(c1)N(=O)=O)c1c(cc(cc1N(=O)=O)C(=O)[O-])C(=O)[O-], nodes [Mn], topology pcu,",Mn8 H16 C64 N8 O48,0.80177265,,,,,,,
"linker [O-]C(=O)c1[n+]([O-])cccc1C(=O)[O-], nodes [Mn][OH]([Mn][OH]([Mn])[Mn])[Mn], topology pcu",Mn10 H28 C56 N8 O44,0.847597122,,,,,,,
"linker [O-]C(=O)CN(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])CC(=O)[O-], n1ccc(cc1)c1ccncc1, nodes [Ni], [Ni][OH2][Ni], topology rna",Ni8 H40 C58 N6 O34,0.832210439,,,,,,,
"linker [N]1C=NN=C1, [O-]C(=O)c1cc(cc(c1C(=O)[O-])C(=O)[O-])N(=O)=O, nodes [Zn], topology ",Zn10 H24 C52 N28 O32,0.770836596,,,,,,,
"linker n1ccc(cc1)C1C(c2ccncc2)C(C1c1ccncc1)c1ccncc1, n1ccc(cc1)C=Cc1ccncc1, nodes [Zn], topology pcu",Zn2 H60 C72 N12,1.009817542,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1CCN(C(C1)C)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [Cu][Cu], topology acs",Cu6 H48 C63 N6 O24,0.870523493,,,,,,,
"linker n1ccc(cc1)C1=NN=C([N]1)c1cnccn1, nodes [Cu], topology pcu",Cu3 H42 C66 N36,0.907069352,,,,,,,
"linker Oc1cccc(c1)C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-], nodes [Mn], topology ",Mn9 H30 C66 N12 O30,0.844993575,,,,,,,
"linker [O]C1(OO1)c1ccc(cc1)n1cnc2c1cc1ccccc1c2, nodes [OH], [Zn], topology acs",Zn4 H48 C72 N8 O16,0.913999797,,,,,,,
"linker NCCCCCCCN, [C]#N, nodes [Cd], [Ni], topology pcu",Cd4 Ni4 H72 C44 N24,0.809097569,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)Nn2cnnc2)c(cc1C(=O)Nn1cnnc1)C(=O)[O-], nodes [Zn], topology hcb",Zn4 H32 C56 N32 O24,0.875557816,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni], topology pcu",Ni2 H2 C10 O8,0.700711314,,,,,,,
"linker [O-]C(=O)C=CC=CC(=O)[O-], nodes [Ni], topology pcu",Ni2 H8 C12 O8,0.791703538,,,,,,,
"linker N1=C[C](C=N1)C1=C[N]N=C1, nodes [Cu], topology lvt",Cu2 H8 C12 N8,0.712711387,,,,,,,
"linker [O-]C(=O)C=CC=CC(=O)[O-], nodes [Co], topology bex,pcu",Co2 H8 C12 O8,0.797181306,,,,,,,
"linker NCCCCCCN, [C]#N, nodes [Cd], [Ni], topology hms",Cd1 Ni1 H16 C10 N6,0.828969829,,,,,,,
"linker NC1=NN=N[N]1, nodes [Zn], topology dia",Zn2 H8 C4 N20,0.793059155,,,,,,,
"linker [C]#N, nodes [Cd], topology pts",Cd4 H12 C8 N12,0.755841626,,,,,,,
"linker N#C[N]c1ccc(cc1)[N]C#N, n1ccc(cc1)c1ccncc1, nodes [Mn], topology sql,pcu",Mn1 H12 C18 N6,0.9209987,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Fe], [OH], topology rna",Fe2 H10 C16 O10,0.788657275,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C1=NN=N[N]1, [O-]C(=O)c1ccc(cc1)C1=N[N]N=N1, nodes [Cu], topology pcu",Cu2 H8 C16 N8 O4,0.758913982,,,,,,,
"linker [O-]C(=O)c1c(F)cc(cc1F)C1=NN=N[N]1, [O-]C(=O)c1c(F)cc(cc1F)C1=N[N]N=N1, nodes [Cu], topology pcu",Cu2 H4 C16 N8 O4 F4,0.737770036,,,,,,,
"linker S=C1C=CC(=S)C=C1, [S]c1ccc(cc1)[S], nodes [Cd], topology pcu",Cd2 H12 C18 S6,0.636040507,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Al], [OH], topology rna",Al2 H10 C16 O10,0.912714153,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Ga], [OH], topology pcu",Ga2 H10 C16 O10,0.77441443,,,,,,,
"linker [O]P(=O)(O)[O], [O]P(=O)([O])O, nodes [Cd], topology hcb",Cd4 P4 H4 C4 O24,0.600416673,,,,,,,
"linker O=C1[N]C(=NC(=O)[CH]1)SSC1=NC(=O)[CH]C(=O)[N]1, nodes [Mn], topology rna",Mn2 H4 C16 S4 N8 O8,0.755118167,,,,,,,
"linker O=C1[N]C(=NC(=O)[CH]1)SSC1=NC(=O)[CH]C(=O)[N]1, O=C1[N]C2=NC(=O)C12, [S]SC1=NC(=O)[CH]C(=O)[N]1, nodes [Zn], topology cpr,pcu",Zn2 H4 C16 S4 N8 O8,0.738759983,,,,,,,
"linker n1ncn(c1)CCn1cnnc1, nodes Cl[Cd], topology ",Cd2 H16 C12 N12 Cl2,0.720532665,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes Cl[Cd]Cl, [Cd], topology ",Cd4 H6 C18 Cl4 O12,0.582796447,,,,,,,
"linker Oc1cc(c(cc1P(=O)(O)[O])O)P(=O)(O)[O], nodes [Zn], topology ",Zn2 P4 H12 C12 O16,0.820981288,,,,,,,
"linker [O-]C(=O)[O-], nodes [Cd][OH2][K][OH2][Cd], [K], [Ru][Ru], topology ",K2 Cd2 H4 Ru4 C8 O26,0.564751976,,,,,,,
"linker [O-]C(=O)C=CC(=O)[O-], nodes [Zn][OH]([Zn][OH]([Zn])[Zn])[Zn], topology pcu",Zn5 H10 C16 O18,0.75517978,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], nodes [Ni][OH2][Ni][OH2][Ni], topology scu,pcu",Ni3 H8 C20 O18,0.783790469,,,,,,,
"linker [CH]1C=NN=N1, [N]1C=CN=N1, [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Zn], topology pcu",Zn3 H12 C20 N6 O8,0.785858042,,,,,,,
"linker n1ncn(c1)[N][N]n1cnnc1, nodes [Fe], topology ths,acs",Fe1 H12 C12 N24,0.906405772,,,,,,,
"linker [O]P(=O)(CP(=O)([O])[O])[O], nodes [U], [Zn], topology pcu",U3 Zn2 P8 H8 C4 O24,0.444768986,,,,,,,
"linker Fc1cc(C2=CN=N[CH]2)c(cc1C1=CN=N[CH]1)F, nodes [Co], topology pcu",Co2 H12 C24 N8 F4,0.81495135,,,,,,,
"linker [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Gd], topology pcu,dia",Gd2 H12 C24 O12,0.628011001,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-], c1cnc(cn1)C1=NN=N[N]1, c1cnc(cn1)C1=N[N]N=N1, nodes [Co], topology ",Co3 H8 C20 N12 O8,0.781701814,,,,,,,
"linker [O-]C(=O)c1cc(O)c(c(c1)O)[O], nodes [Mn], topology sod",Mn3 H12 C21 O15,0.886516545,,,,,,,
"linker [O-]C=O, nodes [Zn], topology pcu",Zn4 H12 C12 O24,0.645931211,,,,,,,
"linker [O-]C(=O)C=CC(=O)[O-], nodes [Al], [OH], topology pts,",Al4 H12 C16 O20,0.980076572,,,,,,,
"linker [O-]C=O, [O-][C]=O, nodes [Mn], topology dia",Mn4 H12 C12 O24,0.883757399,,,,,,,
"linker Cc1cc(c(cc1P(=O)(O)[O])C)P(=O)([O])O, nodes [Mn], topology pcu",Mn2 P4 H20 C16 O12,0.899902065,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Co], topology nbo",Co6 H6 C24 O18,0.715644717,,,,,,,
"linker [O-]C(=O)c1ccc(o1)C(=O)[O-], nodes [Cd], topology sxd",Cd3 H8 C24 O20,0.686975633,,,,,,,
"linker [O-]C(=O)c1cnccn1, nodes Cl[Ni], topology ",Ni4 H12 C20 N8 Cl4 O8,0.736052691,,,,,,,
"linker [O-]C(=O)c1ccc(s1)C(=O)[O-], nodes [Ca], [Cu], topology ",Ca2 Cu2 H8 C24 S4 O16,0.79038672,,,,,,,
"linker [O-]C(=O)c1ccc(s1)C(=O)[O-], nodes [Cu], topology dia,",Cu4 H8 C24 S4 O16,0.734057713,,,,,,,
"linker OC(C(C(=O)[O-])O)C(=O)[O-], n1ccc(cc1)c1ccncc1, nodes F[Co], topology ",Co2 H20 C24 N4 O6 F2,0.91616323,,,,,,,
"linker [O]P(=O)(c1ccc(cc1)P(=O)([O])[O])[O], nodes [Al], topology pcu",Al4 P6 H12 C18 O18,0.812750828,,,,,,,
"linker [O-]C=O, n1ccncc1, nodes [Ni], topology dmp",Ni4 H20 C20 N8 O8,0.816602405,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])C1C(c2ccncc2)C(C1c1ccncc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [Mn], topology sql,",Mn2 H18 C30 N2 O8,0.875256356,,,,,,,
"linker [O-]C(=O)C(=O)[O-], [O]P(=O)(O)[O], [O]P(=O)([O])O, [O]P(=O)([O])[O], nodes [Ga], [Mn], topology ",Mn2 Ga4 P6 H4 C8 O40,0.735122499,,,,,,,
"linker n1ccc(cc1)C=Cc1ccncc1, nodes [Co], [O], [V], topology ",V4 Co2 H20 C24 N4 O10,0.819407675,,,,,,,
"linker [O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-], nodes [Fe]1OO1, [O]O[Fe], topology ",Fe6 H6 C24 O30,0.799893695,,,,,,,
"linker O=C(c1ccncc1)[N]c1ccncc1, [C]#N, nodes [Ni], [Zn], topology fsc",Zn2 Ni2 H16 C30 N14 O2,0.909608714,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [Ni], [O], topology ",Ni4 H12 C32 O20,0.812693276,,,,,,,
"linker [O-]C(=O)c1cnccc1C(=O)[O-], nodes [Ni][OH2][Ni], topology kgd,",Ni4 H16 C28 N4 O18,0.813947367,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [Al], [OH], topology ",Al4 H16 C32 O20,0.936838277,,,,,,,
"linker [O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-], nodes [Li], topology ",Li8 H12 C32 N4 O16,1.086651319,,,,,,,
"linker [O-]C(=O)c1c(cccc1C(=O)[O-])Oc1cccc(c1C(=O)[O-])C(=O)[O-], n1ccc(cc1)c1ccncc1, nodes [Ni], topology ",Ni2 H22 C36 N4 O9,0.899570347,,,,,,,
"linker [O-]C(=O)c1ccnc(c1)c1nccc(c1)C(=O)[O-], nodes [Ce], topology rna,acs",Ce2 H18 C36 N6 O12,0.73470225,,,,,,,
"linker [O-]C(=O)c1ccc(cn1)C(=O)[O-], nodes O, [Ni], [Sr], topology pcu",Sr2 Ni2 H20 C28 N4 O20,0.820405532,,,,,,,
"linker Cc1c(C)c(Cn2cncc2)c(c(c1Cn1cncc1)C)C, [O-]C(=O)c1ccc(cc1)C(=O)[O-], nodes [Zn], topology nbo",Zn2 H30 C34 N4 O8,0.959708213,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes Cl[Mn], [Mn], topology srs",Mn8 H12 C36 Cl4 O24,0.72546289,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-], nodes [In]O[Co]O[In], topology sql",In4 Co2 H12 C36 Br4 O28,0.59852749,,,,,,,
"linker [O-]C(=O)C1=CC=N[N]1, [O-]C(=O)C1=C[CH]N=N1, [O-]C(=O)C1=NN=C[CH]1, [O-]C(=O)[C]1C=CN=N1, nodes [Cu], topology pcu",Cu8 H16 C32 N16 O16,0.674554829,,,,,,,
"linker [O]S(=O)(=O)[O], n1cnn(c1)Cc1cc(cc(c1)Cn1ncnc1)Cn1ncnc1, nodes [Cd], topology ",Cd2 H30 C30 S2 N18 O8,0.807577262,,,,,,,
"linker [O-]C(=O)c1cc(cc(c1)c1ccc(cc1C(=O)[O-])C(=O)[O-])c1ccc(cc1C(=O)[O-])C(=O)[O-], nodes [Zn][OH]([Zn])[Zn], topology dia,pcu",Zn6 H20 C46 O22,0.783630688,,,,,,,
"linker [O-]C(=O)c1ccncc1, nodes [Cd], topology acs",Cd4 H32 C48 N8 O16,0.755945681,,,,,,,
"linker [O-]C(=O)c1ccc(s1)C(=O)[O-], nodes [In], topology dia,",In4 H16 C48 S8 O32,0.73939454,,,,,,,
"linker [O-]C(=O)c1nccnc1C(=O)[O-], n1cc2ccc3c4c2c(c1)ccc4cnc3, nodes [Cu], topology pcu,",Cu4 H24 C52 N12 O16,0.829734793,,,,,,,
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",K4 H44 C36 S4 N4 O18,0.980398766,,,,,,,
"linker n1ccc(cn1)c1ccnnc1, nodes [Ag][Ag][Ag], topology pts,sur",Ag6 H36 C48 N24,0.712794485,,,,,,,
"linker [O]S(c1cc[n+](c(c1)c1cc(cc[n+]1[O-])S([O])([O])[O])[O-])([O])[O], nodes [Eu], [Na]O[Na], [Na]O[Na]O[Na], [O][Na], topology rna",Na6 Eu1 H24 C40 S8 N8 Cl1 O36,0.798633201,,,,,,,
"linker n1ccc(cc1)OCC(COc1ccncc1)(COc1ccncc1)COc1ccncc1, nodes [Fe], topology sql",Fe2 H48 C54 S4 N12 O8,0.987820759,,,,,,,
"linker C(Cn1nncn1)Cn1nncn1, nodes [Zn], topology rna",Zn2 H48 C30 N48,0.972952881,,,,,,,
"linker OC(=O)C1=CC(=[C]C(=C1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], OC(=O)C1=CC(=[C]C(=C1)Oc1cccc(c1C(=O)[O-])C(=O)[O-])C(=O)O, OC(=O)c1cc(cc(c1)C(=O)O)Oc1cccc(c1C(=O)[O-])C(=O)[O-], nodes [Ba][OH2][Ba], topology pts,",Ba4 H34 C64 O38,0.777219281,,,,,,,
"linker [O-]C(=O)c1ccc2c3c1c(ccc3C(=O)N(C2=O)c1ccncc1)C(=O)[O-], nodes [Mn], topology sql",Mn4 H32 C76 N8 O24,0.86868107,,,,,,,
"linker S1Cc2ccc(cc2)CSCc2ccc(C1)cc2, nodes [Cu]Br, topology ",Cu4 H64 C64 S8 Br4,0.809495392,,,,,,,
"linker [O-]C(=O)c1cnccn1, nodes [Ni], [O], [V], [V][V], topology ",V12 Ni8 H24 C40 N16 O46,0.756509048,,,,,,,
"linker [O-]C(=O)c1cc(OCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-], nodes [Zn], topology rna,bcu",Zn8 H32 C68 O40,0.803413669,,,,,,,
"linker [O-]C(=O)c1cc(C(=O)Nn2cnnc2)c(cc1C(=O)Nn1cnnc1)C(=O)[O-], nodes [Cd], topology ",Cd4 H32 C56 N32 O24,0.794519436,,,,,,,
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,22.41778292,22.59587834,22.73372187,22.84252961,22.92988436,23.00105521,23.05979268
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,22.94001945,23.07542439,23.179683,23.26162209,23.32716229,23.38039057,23.4241995
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,22.37085474,22.54875225,22.68645208,22.79515281,22.88242577,22.95353254,23.01221861
"linker O=C1C=CC(=C[C]1C=[NH]CCCC[NH]=C[C]1C=C(C=CC1=O)S([O])([O])[O])S([O])([O])[O], Oc1ccc(cc1CNCCCCNCc1cc(ccc1O)S([O])([O])[O])S([O])([O])[O], nodes [K][OH2][K], topology ",,,23.21255488,23.3475588,23.45149011,23.53316104,23.59848007,23.65152447,23.69517927
