smiles,inchi,selfies,iupac,lipophilicity
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",[C][C][=Branch1][C][=O][C@H1][C][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][N][C][C][C@][Ring2][Ring1][Ring1][Ring1][S][C],"(8s,9s,10r,13s,14s,17s)-17-acetyl-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",3.94
CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,"InChI=1S/C17H18N4OS/c1-21(2)12-8-9-19-17-13(12)14(18)15(23-17)16(22)20-10-11-6-4-3-5-7-11/h3-9H,10,18H2,1-2H3,(H,20,22)",[C][N][Branch1][C][C][C][=C][C][=N][C][S][C][Branch1][#C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][C][N][C][Ring2][Ring1][Ring2][=Ring1][S],"3-amino-4-dimethylamino-n-(phenylmethyl)thieno[5,4-b]pyridine-2-carboxamide",3.62
Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,"InChI=1S/C27H26ClN7O2/c1-32-15-29-11-22(32)24-23-25(31-35(24)14-18-8-9-30-21-7-6-19(28)10-20(18)21)33(12-16-2-3-16)27(37)34(26(23)36)13-17-4-5-17/h6-11,15-17H,2-5,12-14H2,1H3",[C][N][C][=N][C][=C][Ring1][Branch1][C][=C][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][C][C][Ring1][Ring1][C][Ring1][S][=N][N][Ring2][Ring1][Ring1][C][C][=C][C][=N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][O][Ring1][#Branch1],"2-[(6-chloroquinolin-4-yl)methyl]-5,7-bis(cyclopropylmethyl)-3-(3-methylimidazol-4-yl)pyrazolo[4,3-e]pyrimidine-4,6-dione",4.33
OB1N(C(=O)Nc2ccccc12)c3ccccc3,"InChI=1S/C13H11BN2O2/c17-13-15-12-9-5-4-8-11(12)14(18)16(13)10-6-2-1-3-7-10/h1-9,18H,(H,15,17)",[O][B][N][Branch1][S][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],"1-hydroxy-2-phenyl-4h-2,4,1-benzodiazaborinin-3-one",1.4
CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,"InChI=1S/C21H29N3O/c1-16(2)24(17(3)4)15-13-21(20(22)25,18-10-6-5-7-11-18)19-12-8-9-14-23-19/h5-12,14,16-17H,13,15H2,1-4H3,(H2,22,25)",[C][C][Branch1][C][C][N][Branch2][Ring1][=N][C][C][C][Branch1][=Branch1][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][C][C],4-(di(propan-2-yl)amino)-2-phenyl-2-pyridin-2-ylbutanamide,-0.54
CC(Nc1ncnc2ccccc12)c3ccccc3,"InChI=1S/C16H15N3/c1-12(13-7-3-2-4-8-13)19-16-14-9-5-6-10-15(14)17-11-18-16/h2-12H,1H3,(H,17,18,19)",[C][C][Branch1][S][N][C][=N][C][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],n-(1-phenylethyl)quinazolin-4-amine,3.4
CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,"InChI=1S/C16H14N2O4/c1-7(2)8-3-4-12-9(5-8)13(19)10-6-11(16(20)21)14(17)18-15(10)22-12/h3-7H,1-2H3,(H2,17,18)(H,20,21)",[C][C][Branch1][C][C][C][=C][C][=C][O][C][=N][C][Branch1][C][N][=C][Branch1][#C][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][Ring1][N][=C][Ring1][S][C][=Branch1][C][=O][O],"2-amino-5-oxo-7-propan-2-ylchromeno[3,2-e]pyridine-3-carboxylic acid",1.1
O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,"InChI=1S/C26H30N2O5S/c29-22-10-9-21(25-24(22)28-26(31)34-25)23(30)17-27-12-4-13-32-15-16-33-14-11-19-7-3-6-18-5-1-2-8-20(18)19/h1-3,5-10,23,27,29-30H,4,11-17H2,(H,28,31)/t23-/m0/s1",[O][C@@H1][Branch2][Ring1][#Branch2][C][N][C][C][C][O][C][C][O][C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][C][O][C][N][C][=Branch1][C][=O][S][C][Ring1][O][=Ring1][=Branch1],"4-hydroxy-7-[(1r)-1-hydroxy-2-[3-[2-(2-naphthalen-1-ylethoxy)ethoxy]propylamino]ethyl]-3h-1,3-benzothiazol-2-one",2.28
COc1ccccc1Cn2c(C)nc3ccccc23,"InChI=1S/C16H16N2O/c1-12-17-14-8-4-5-9-15(14)18(12)11-13-7-3-6-10-16(13)19-2/h3-10H,11H2,1-2H3",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][Branch1][C][C][=N][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],1-[(2-methoxyphenyl)methyl]-2-methylbenzimidazole,3.47
NC(Cc1c[nH]c2ccccc12)C(=O)O,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)",[N][C][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O],2-amino-3-(1h-indol-3-yl)propanoic acid,-1.17
N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,"InChI=1S/C15H14N4/c1-3-7-12(8-4-1)16-14-11-15(19-18-14)17-13-9-5-2-6-10-13/h1-11H,(H3,16,17,18,19)",[N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][N][=Ring1][N],"n,n'-di(phenyl)-1h-pyrazole-3,5-diamine",3.8
OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,"InChI=1S/C21H23NO3/c23-20(25-19-15-22-13-11-16(19)12-14-22)21(24,17-7-3-1-4-8-17)18-9-5-2-6-10-18/h1-10,16,19,24H,11-15H2",[O][C][Branch2][Ring1][C][C][=Branch1][C][=O][O][C][C][N][C][C][C][Ring1][=Branch1][C][C][Ring1][=Branch1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],"1-azabicyclo[2.2.2]octan-8-yl 2-hydroxy-2,2-di(phenyl)acetate",1.19
Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,"InChI=1S/C14H14BrNO3S2/c1-10-4-2-3-5-11(10)16-13(17)8-9-21(18,19)14-7-6-12(15)20-14/h2-7H,8-9H2,1H3,(H,16,17)",[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Br][S][Ring1][=Branch1],3-(5-bromothiophen-2-yl)sulfonyl-n-(2-methylphenyl)propanamide,2.7
O=C(COc1ccccc1)c2ccccc2,"InChI=1S/C14H12O2/c15-14(12-7-3-1-4-8-12)11-16-13-9-5-2-6-10-13/h1-10H,11H2",[O][=C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],2-(phenoxy)-1-phenylethanone,2.87
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,"InChI=1S/C22H24ClFN4O2/c1-29-20-13-19-16(12-21(20)30-10-4-9-28-7-2-3-8-28)22(26-14-25-19)27-15-5-6-18(24)17(23)11-15/h5-6,11-14H,2-4,7-10H2,1H3,(H,25,26,27)",[C][O][C][=C][C][=N][C][=N][C][Branch1][S][N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][Cl][=C][Ring1][Branch2][=C][Ring1][#C][C][=C][Ring2][Ring1][Ring1][O][C][C][C][N][C][C][C][C][Ring1][Branch1],n-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-pyrrolidin-1-ylpropoxy)quinazolin-4-amine,3.13
Clc1cccc2cn[nH]c12,"InChI=1S/C7H5ClN2/c8-6-3-1-2-5-4-9-10-7(5)6/h1-4H,(H,9,10)",[Cl][C][=C][C][=C][C][C][=N][NH1][C][Ring1][=Branch2][=Ring1][Branch1],7-chloro-1h-indazole,2.33
Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,"InChI=1S/C25H34ClN3O2/c26-23-2-1-16(12-29-13-20-10-27-11-21(14-29)31-20)6-22(23)24(30)28-15-25-7-17-3-18(8-25)5-19(4-17)9-25/h1-2,6,17-21,27H,3-5,7-15H2,(H,28,30)",[Cl][C][=C][C][=C][Branch1][P][C][N][C][C][C][N][C][C][Branch1][Ring2][C][Ring1][Branch2][O][Ring1][#Branch1][C][=C][Ring1][S][C][=Branch1][C][=O][N][C][C][C][C][C][C][Branch1][O][C][C][Branch1][Ring2][C][Ring1][=Branch1][C][Ring1][=Branch2][C][Ring1][#Branch2],"n-(1-adamantylmethyl)-2-chloro-5-(9-oxa-3,7-diazabicyclo[3.3.1]nonan-7-ylmethyl)benzamide",1.55
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,"InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)",[C][O][C][=C][C][Branch2][Ring1][Ring2][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1][=N][C][Branch1][Ring1][O][C][=N][Ring2][Ring1][Ring1],"4-amino-n-(2,6-dimethoxypyrimidin-4-yl)benzenesulfonamide",0.2
C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,"InChI=1S/C16H16F2N8/c1-8(14-19-5-10(17)6-20-14)22-16-21-7-11(18)15(24-16)23-13-4-12(25-26-13)9-2-3-9/h4-9H,2-3H2,1H3,(H3,21,22,23,24,25,26)/t8-/m0/s1",[C][C@H1][Branch2][Ring1][=C][N][C][=N][C][=C][Branch1][C][F][C][Branch1][S][N][C][C][=C][Branch1][Branch1][NH1][N][=Ring1][Branch1][C][C][C][Ring1][Ring1][=N][Ring1][S][C][=N][C][=C][Branch1][C][F][C][=N][Ring1][#Branch1],"n'-(5-cyclopropyl-1h-pyrazol-3-yl)-5-fluoro-n-[(1s)-1-(5-fluoropyrimidin-2-yl)ethyl]pyrimidine-2,4-diamine",2.47
COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1,"InChI=1S/C17H16N2O5S2/c1-10-4-5-11(16(20)24-3)8-14(10)18-26(22,23)12-6-7-15-13(9-12)17(21)25-19(15)2/h4-9,18H,1-3H3",[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][C][C][Branch2][Ring1][N][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][N][Branch1][C][C][S][C][=Branch1][C][=O][C][Ring1][#Branch1][=C][Ring1][O][=C][Ring2][Ring1][=Branch1],"methyl 4-methyl-3-[(1-methyl-3-oxo-2,1-benzothiazol-5-yl)sulfonylamino]benzoate",2.6
COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3",[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][O][C][=C][C][Branch1][C][O][=C][C][Branch1][C][O][=C][Ring1][Branch2][C][Ring1][N][=O],"5,7-dihydroxy-3-(4-methoxyphenyl)chromen-4-one",3.5
Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,"InChI=1S/C19H17F2N3O5/c20-15-7-13(8-16(21)18(15)12-1-4-23(11-25)5-2-12)24-9-14(29-19(24)26)10-27-17-3-6-28-22-17/h1,3,6-8,11,14H,2,4-5,9-10H2/t14-/m1/s1",[F][C][=C][C][=Branch2][Ring1][Branch1][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][=C][C][N][Branch1][Branch1][C][C][Ring1][=Branch1][C][=O][N][C][C@H1][Branch1][#Branch2][C][O][C][C][=C][O][N][=Ring1][Branch1][O][C][Ring1][N][=O],"4-[2,6-difluoro-4-[(5r)-5-(1,2-oxazol-3-yloxymethyl)-2-oxo-1,3-oxazolidin-3-yl]phenyl]-3,6-dihydro-2h-pyridine-1-carbaldehyde",2.01
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,"InChI=1S/C22H25ClN2O4/c1-16-13-24(9-10-25(16)21(26)11-17-5-3-2-4-6-17)14-18-12-19(23)7-8-20(18)29-15-22(27)28/h2-8,12,16H,9-11,13-15H2,1H3,(H,27,28)/t16-/m0/s1",[C][C@H1][C][N][Branch2][Ring1][Ring2][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][O][C][C][=Branch1][C][=O][O][C][C][N][Ring2][Ring1][Ring1][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1],2-[4-chloro-2-[[(3s)-3-methyl-4-(2-phenylacetyl)piperazin-1-yl]methyl]phenoxy]acetic acid,0.18
Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1,"InChI=1S/C16H16Cl2N2O3/c1-10-7-12(23-20-10)3-2-5-21-15-13(17)8-11(9-14(15)18)16-19-4-6-22-16/h7-9H,2-6H2,1H3",[C][C][C][=C][Branch2][Ring1][#Branch2][C][C][C][O][C][=C][Branch1][C][Cl][C][=C][Branch1][=Branch1][C][=C][Ring1][#Branch1][Cl][C][=N][C][C][O][Ring1][Branch1][O][N][=Ring2][Ring1][=Branch1],"5-[3-[2,6-dichloro-4-(4,5-dihydro-1,3-oxazol-2-yl)phenoxy]propyl]-3-methyl-1,2-oxazole",3.72
COc1ccc(Cc2c(N)n[nH]c2N)cc1,"InChI=1S/C11H14N4O/c1-16-8-4-2-7(3-5-8)6-9-10(12)14-15-11(9)13/h2-5H,6H2,1H3,(H5,12,13,14,15)",[C][O][C][=C][C][=C][Branch1][=N][C][C][C][Branch1][C][N][=N][NH1][C][=Ring1][=Branch1][N][C][=C][Ring1][=C],"4-[(4-methoxyphenyl)methyl]-1h-pyrazole-3,5-diamine",0.2
CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3,"InChI=1S/C22H27N7O3S/c1-4-29(13-12-28(2)3)33(31,32)18-9-7-16(8-10-18)19-15-25-21(23)20(27-19)22(30)26-17-6-5-11-24-14-17/h5-11,14-15H,4,12-13H2,1-3H3,(H2,23,25)(H,26,30)",[C][C][N][Branch1][Branch2][C][C][N][Branch1][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][N][=C][Branch1][C][N][C][=Branch1][Ring2][=N][Ring1][#Branch1][C][=Branch1][C][=O][N][C][=C][C][=C][N][=C][Ring1][=Branch1],3-amino-6-[4-(2-dimethylaminoethyl-ethylsulfamoyl)phenyl]-n-pyridin-3-ylpyrazine-2-carboxamide,2
C1Oc2ccccc2C3=NN(CC13)c4ccccc4,"InChI=1S/C16H14N2O/c1-2-6-13(7-3-1)18-10-12-11-19-15-9-5-4-8-14(15)16(12)17-18/h1-9,12H,10-11H2",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][N][Branch1][#Branch1][C][C][Ring1][=N][Ring1][Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],"2-phenyl-3a,4-dihydro-3h-chromeno[4,3-c]pyrazole",4.28
FC(F)c1nc2ccccc2[nH]1,"InChI=1S/C8H6F2N2/c9-7(10)8-11-5-3-1-2-4-6(5)12-8/h1-4,7H,(H,11,12)",[F][C][Branch1][C][F][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2],2-(difluoromethyl)-1h-benzimidazole,2.02
Oc1ccccc1OC(=O)c2cccc3ccccc23,"InChI=1S/C17H12O3/c18-15-10-3-4-11-16(15)20-17(19)14-9-5-7-12-6-1-2-8-13(12)14/h1-11,18H",[O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],(2-hydroxyphenyl) naphthalene-1-carboxylate,4.4
COc1ccccc1CNc2cc(C)ccn2,"InChI=1S/C14H16N2O/c1-11-7-8-15-14(9-11)16-10-12-5-3-4-6-13(12)17-2/h3-9H,10H2,1-2H3,(H,15,16)",[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][C][=C][C][Branch1][C][C][=C][C][=N][Ring1][#Branch1],n-[(2-methoxyphenyl)methyl]-4-methylpyridin-2-amine,3.28
Nc1c2CCN(c3ccccc3)c2nc4ccc(Br)cc14,"InChI=1S/C17H14BrN3/c18-11-6-7-15-14(10-11)16(19)13-8-9-21(17(13)20-15)12-4-2-1-3-5-12/h1-7,10H,8-9H2,(H2,19,20)",[N][C][=C][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring2][Ring1][Ring2][Ring1][#Branch1],"6-bromo-1-phenyl-2,3-dihydropyrrolo[2,3-b]quinolin-4-amine",3.12
OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,"InChI=1S/C14H10F2O2/c15-11-5-1-9(2-6-11)13(17)14(18)10-3-7-12(16)8-4-10/h1-8,13,17H",[O][C][Branch1][S][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],"1,2-bis(4-fluorophenyl)-2-hydroxyethanone",2.49
CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2,"InChI=1S/C14H18FN3O3S/c1-9(2)7-12(16)13-17-18-14(21-13)22(19,20)8-10-3-5-11(15)6-4-10/h3-6,9,12H,7-8,16H2,1-2H3/t12-/m0/s1",[C][C][Branch1][C][C][C][C@H1][Branch1][C][N][C][O][C][=Branch1][Branch1][=N][N][=Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],"(1s)-1-[5-[(4-fluorophenyl)methylsulfonyl]-1,3,4-oxadiazol-2-yl]-3-methylbutan-1-amine",1.11
CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5,"InChI=1S/C24H22N4/c1-16(17-9-3-2-4-10-17)18(24-27-21-13-7-8-14-22(21)28-24)15-23-25-19-11-5-6-12-20(19)26-23/h2-14,16,18H,15H2,1H3,(H,25,26)(H,27,28)",[C][C][Branch2][Ring1][#C][C][Branch1][#C][C][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],2-[1-(1h-benzimidazol-2-yl)-3-phenylbutan-2-yl]-1h-benzimidazole,4.48
Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,"InChI=1S/C23H26ClN5O4/c24-15-1-3-19-18(11-15)29(22(31)14-33-19)10-9-28-7-5-16(6-8-28)25-12-17-2-4-20-23(26-17)27-21(30)13-32-20/h1-4,11,16,25H,5-10,12-14H2,(H,26,27,30)",[Cl][C][=C][C][=C][O][C][C][=Branch1][C][=O][N][Branch2][Ring1][S][C][C][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][N][C][C][=C][C][=C][O][C][C][=Branch1][C][=O][N][C][Ring1][#Branch1][=N][Ring1][O][C][Ring2][Ring1][N][=C][Ring2][Ring1][S],"6-[[[1-[2-(6-chloro-3-oxo-1,4-benzoxazin-4-yl)ethyl]piperidin-4-yl]amino]methyl]-4h-pyrido[2,3-e][1,4]oxazin-3-one",1.33
