doi,Electrical resistivity (Ωcm),Seebeck coefficient (μCV/K),ZT (thermoelectric figure of merit) ,formula,synthesis,form,temperature,Thermal conductivity (W/mK),Average atomic mass (g/mol),Scarcity (wt fraction/abundance),HHIP (Herfindahl?Hirschman Index for elemental production),HHIR (Herfindahl?Hirschman Index for elemental reserves),Unit cell volume (Å³),Average atomic volume (Å³),Atoms per unit cell,Electrical conductivity (Ω⁻¹ cm⁻¹),Power Factor (W/(K²m)),S² (μV/K)²,Electronic fraction of thermal conductivity (ϰₑ/ϰ)
10.1002/chin.199644003,0.165,-25,0.000114,K1Bi6.33S10,"solid state reaction, vacuum",polycrystalline,300,1.3,97.09,46250000,4345,5070,1204.18,33.449,36,6.061,3.79E-07,625,0.00341
10.1002/chin.200318015,2.919,-752,0.00582,Nd2Cu1O4,"solid state reaction, air",polycrystalline,300,29.6,59.43,21000,6889,2479,189.28,13.52,14,0.343,1.94E-05,566000,8.47E-06
10.1002/chin.200318015,0.059,-249,0.03,Nd2Cu0.98Ni0.02O4,"solid state reaction, air",polycrystalline,300,9.811,59.42,20980,6888,2480,189.28,13.52,14,16.8,0.000105,62200,0.00126
10.1002/chin.200318015,0.19,-343,0.02,Nd2Cu0.98Zn0.02O4,"solid state reaction, air",polycrystalline,300,17.1,59.44,21000,6888,2481,189.28,13.52,14,5.269,6.21E-05,118000,0.000226
10.1002/chin.200318015,2.162,-618,0.00708,Nd2Cu1O4,"solid state reaction, air",polycrystalline,400,13.7,59.43,21000,6889,2479,189.28,13.52,14,0.463,1.77E-05,382000,3.30E-05
10.1002/chin.200318015,0.038,-183,0.03,Nd2Cu0.98Ni0.02O4,"solid state reaction, air",polycrystalline,400,8.03,59.42,20980,6888,2480,189.28,13.52,14,26.1,8.72E-05,33400,0.00318
10.1002/chin.200318015,0.141,-294,0.02,Nd2Cu0.98Zn0.02O4,"solid state reaction, air",polycrystalline,400,11.1,59.44,21000,6888,2481,189.28,13.52,14,7.115,6.17E-05,86700,0.000626
10.1002/chin.200318015,0.024,-100,0.03,Nd2Cu1O4,"solid state reaction, air",polycrystalline,700,4.19,59.43,21000,6889,2479,189.28,13.52,14,41,4.08E-05,9940,0.017
10.1002/chin.200318015,0.022,-99,0.03,Nd2Cu0.98Ni0.02O4,"solid state reaction, air",polycrystalline,700,5.25,59.42,20980,6888,2480,189.28,13.52,14,46.3,4.49E-05,9700,0.015
10.1002/chin.200318015,0.076,-176,0.03,Nd2Cu0.98Zn0.02O4,"solid state reaction, air",polycrystalline,700,5.22,59.44,21000,6888,2481,189.28,13.52,14,13.1,4.04E-05,30800,0.00429
10.1002/chin.200318015,0.00158,26,0.04,Nd2Cu1O4,"solid state reaction, air",polycrystalline,1000,3.94,59.43,21000,6889,2479,189.28,13.52,14,631,4.35E-05,690,0.391
10.1002/chin.200318015,0.023,-83,0.03,Nd2Cu0.98Ni0.02O4,"solid state reaction, air",polycrystalline,1000,3.902,59.42,20980,6888,2480,189.28,13.52,14,43.6,2.98E-05,6830,0.027
10.1002/chin.200318015,0.037,-64,0.01,Nd2Cu0.98Zn0.02O4,"solid state reaction, air",polycrystalline,1000,3.63,59.44,21000,6888,2481,189.28,13.52,14,26.9,1.09E-05,4060,0.018
10.1006/jssc.1995.1384,0.00371,-83,0.06,Ca0.9Bi0.1Mn1O3,"solid state reaction, air",polycrystalline,300,3.591,31.98,7688000,2260,1887,213.57,10.678,20,270,0.000184,6830,0.055
10.1006/jssc.1995.1384,0.00729,-49,0.00995,Ca0.9Ce0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,30.6,1819,2506,1440,215.14,10.757,20,137,3.32E-05,2420,
10.1006/jssc.1995.1384,0.018,-87,0.01,Ca0.9Y0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,29.58,2323,2287,1352,215.14,10.757,20,56.3,4.23E-05,7510,
10.1006/jssc.1995.1384,0.00863,-102,0.04,Ca0.9Sm0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,30.81,15330,2553,1451,210.39,10.519,20,116,0.000121,10400,
10.1006/jssc.1995.1384,0.462,-70,0.000317,Ca0.9Sb0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,30.24,403100,2295,1442,210.39,10.519,20,2.164,1.06E-06,4890,
10.1006/jssc.1995.1384,0.00796,-93,0.03,Ca0.9La0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,30.58,2861,2501,1438,212.03,10.602,20,126,0.000109,8650,
10.1006/jssc.1995.1384,0.045,-274,0.05,Ca0.9Pb0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,31.95,11170,1922,1336,212.03,10.602,20,22.5,0.000169,75200,
10.1006/jssc.1995.1384,0.215,-348,0.02,Ca0.9In0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,30.1,372600,1921,1325,212.03,10.602,20,4.651,5.65E-05,121000,
10.1006/jssc.1995.1384,2.198,-284,0.0011,Ca0.9Sn0.1Mn1O3,"solid state reaction, air",polycrystalline,300,,30.18,35350,1866,1298,212.03,10.602,20,0.455,3.67E-06,80600,
10.1006/jssc.1995.1384,6.975,-477,0.000977,Ca1Mn1O3,"solid state reaction, air",polycrystalline,300,2.99,28.6,398,1861,1276,206.97,10.348,20,0.143,3.26E-06,227000,3.51E-05
10.1006/jssc.1995.1384,0.004,-101,0.1,Ca0.9Bi0.1Mn1O3,"solid state reaction, air",polycrystalline,400,3.147,31.98,7688000,2260,1887,213.57,10.678,20,250,0.000254,10200,0.078
10.1006/jssc.1995.1384,0.00645,-55,0.02,Ca0.9Ce0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,30.6,1819,2506,1440,215.14,10.757,20,155,4.76E-05,3070,
10.1006/jssc.1995.1384,0.015,-91,0.02,Ca0.9Y0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,29.58,2323,2287,1352,215.14,10.757,20,66.1,5.50E-05,8320,
10.1006/jssc.1995.1384,0.00747,-106,0.06,Ca0.9Sm0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,30.81,15330,2553,1451,210.39,10.519,20,134,0.00015,11200,
10.1006/jssc.1995.1384,0.115,-71,0.00175,Ca0.9Sb0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,30.24,403100,2295,1442,210.39,10.519,20,8.674,4.36E-06,5030,
10.1006/jssc.1995.1384,0.00699,-98,0.06,Ca0.9La0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,30.58,2861,2501,1438,212.03,10.602,20,143,0.000139,9680,
10.1006/jssc.1995.1384,0.052,-266,0.05,Ca0.9Pb0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,31.95,11170,1922,1336,212.03,10.602,20,19.1,0.000135,70800,
10.1006/jssc.1995.1384,0.205,-357,0.02,Ca0.9In0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,30.1,372600,1921,1325,212.03,10.602,20,4.887,6.21E-05,127000,
10.1006/jssc.1995.1384,2.302,-282,0.00138,Ca0.9Sn0.1Mn1O3,"solid state reaction, air",polycrystalline,400,,30.18,35350,1866,1298,212.03,10.602,20,0.434,3.45E-06,79400,
10.1006/jssc.1995.1384,2.87,-461,0.00296,Ca1Mn1O3,"solid state reaction, air",polycrystalline,400,3.178,28.6,398,1861,1276,206.97,10.348,20,0.348,7.41E-06,213000,0.000107
10.1006/jssc.1995.1384,0.005,-120,0.2,Ca0.9Bi0.1Mn1O3,"solid state reaction, air",polycrystalline,700,2.214,31.98,7688000,2260,1887,213.57,10.678,20,200,0.000287,14300,0.154
10.1006/jssc.1995.1384,0.00666,-60,0.04,Ca0.9Ce0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,30.6,1819,2506,1440,215.14,10.757,20,150,5.40E-05,3600,
10.1006/jssc.1995.1384,0.016,-103,0.05,Ca0.9Y0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,29.58,2323,2287,1352,215.14,10.757,20,63.1,6.64E-05,10500,
10.1006/jssc.1995.1384,0.00788,-147,0.19,Ca0.9Sm0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,30.81,15330,2553,1451,210.39,10.519,20,127,0.000273,21500,
10.1006/jssc.1995.1384,0.067,-81,0.00686,Ca0.9Sb0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,30.24,403100,2295,1442,210.39,10.519,20,14.9,9.80E-06,6570,
10.1006/jssc.1995.1384,0.00855,-117,0.11,Ca0.9La0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,30.58,2861,2501,1438,212.03,10.602,20,117,0.00016,13700,
10.1006/jssc.1995.1384,0.061,-277,0.09,Ca0.9Pb0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,31.95,11170,1922,1336,212.03,10.602,20,16.5,0.000127,76800,
10.1006/jssc.1995.1384,0.231,-411,0.05,Ca0.9In0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,30.1,372600,1921,1325,212.03,10.602,20,4.333,7.32E-05,169000,
10.1006/jssc.1995.1384,2.082,-255,0.00219,Ca0.9Sn0.1Mn1O3,"solid state reaction, air",polycrystalline,700,,30.18,35350,1866,1298,212.03,10.602,20,0.48,3.13E-06,65100,
10.1006/jssc.1995.1384,0.485,-332,0.02,Ca1Mn1O3,"solid state reaction, air",polycrystalline,700,3.311,28.6,398,1861,1276,206.97,10.348,20,2.061,2.27E-05,110000,0.00106
10.1006/jssc.1995.1384,0.00519,-96,0.18,Ca0.9Bi0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,1.841,31.98,7688000,2260,1887,213.57,10.678,20,193,0.000178,9220,0.255
10.1006/jssc.1995.1384,0.00789,-80,0.08,Ca0.9Ce0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,30.6,1819,2506,1440,215.14,10.757,20,127,8.21E-05,6480,
10.1006/jssc.1995.1384,0.018,-108,0.07,Ca0.9Y0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,29.58,2323,2287,1352,215.14,10.757,20,56.8,6.57E-05,11600,
10.1006/jssc.1995.1384,0.00783,-123,0.19,Ca0.9Sm0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,30.81,15330,2553,1451,210.39,10.519,20,128,0.000192,15100,
10.1006/jssc.1995.1384,0.064,-70,0.00765,Ca0.9Sb0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,30.24,403100,2295,1442,210.39,10.519,20,15.6,7.65E-06,4920,
10.1006/jssc.1995.1384,0.01,-88,0.08,Ca0.9La0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,30.58,2861,2501,1438,212.03,10.602,20,97.2,7.60E-05,7820,
10.1006/jssc.1995.1384,0.047,-115,0.03,Ca0.9Pb0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,31.95,11170,1922,1336,212.03,10.602,20,21.4,2.81E-05,13200,
10.1006/jssc.1995.1384,0.173,-235,0.03,Ca0.9In0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,30.1,372600,1921,1325,212.03,10.602,20,5.766,3.18E-05,55100,
10.1006/jssc.1995.1384,0.479,-145,0.00442,Ca0.9Sn0.1Mn1O3,"solid state reaction, air",polycrystalline,1000,,30.18,35350,1866,1298,212.03,10.602,20,2.089,4.42E-06,21200,
10.1006/jssc.1995.1384,0.087,-193,0.04,Ca1Mn1O3,"solid state reaction, air",polycrystalline,1000,3.445,28.6,398,1861,1276,206.97,10.348,20,11.4,4.25E-05,37200,0.0081
10.1007/978-3-540-88201-5_24,0.00962,-50,0.00771,Sr1Dy0.08Ti0.92O3,"solid state reaction, air",polycrystalline,300,4.195,38.53,13120,2920,2055,60.64,12.128,5,104,2.57E-05,2470,0.018
10.1007/978-3-540-88201-5_24,0.0026,-32,0.01,Sr1Nd0.17Ti0.83O3,"solid state reaction, air",polycrystalline,300,6.19,39.97,4528,3337,2128,60.64,12.128,5,385,4.07E-05,1060,0.046
10.1007/978-3-540-88201-5_24,0.00184,-34,0.02,Sr1Nd0.2Ti0.8O3,"solid state reaction, air",polycrystalline,300,5.53,40.55,5035,3484,2153,60.64,12.128,5,544,6.44E-05,1180,0.072
10.1007/978-3-540-88201-5_24,0.00225,-23,0.00682,Sr1Nd0.24Ti0.76O3,"solid state reaction, air",polycrystalline,300,5.98,41.32,5689,3673,2186,60.64,12.128,5,445,2.27E-05,511,0.054
10.1007/978-3-540-88201-5_24,0.004,-70,0.05,Sr1Dy0.08Ti0.92O3,"solid state reaction, air",polycrystalline,400,3.74,38.53,13120,2920,2055,60.64,12.128,5,250,0.000124,4970,0.065
10.1007/978-3-540-88201-5_24,0.00193,-42,0.04,Sr1Nd0.17Ti0.83O3,"solid state reaction, air",polycrystalline,400,5.35,39.97,4528,3337,2128,60.64,12.128,5,519,9.24E-05,1780,0.095
10.1007/978-3-540-88201-5_24,0.00147,-45,0.05,Sr1Nd0.2Ti0.8O3,"solid state reaction, air",polycrystalline,400,4.83,40.55,5035,3484,2153,60.64,12.128,5,678,0.000137,2020,0.137
10.1007/978-3-540-88201-5_24,0.00181,-32,0.02,Sr1Nd0.24Ti0.76O3,"solid state reaction, air",polycrystalline,400,5.29,41.32,5689,3673,2186,60.64,12.128,5,553,5.49E-05,992,0.102
10.1007/978-3-540-88201-5_24,0.00459,-147,0.33,Sr1Dy0.08Ti0.92O3,"solid state reaction, air",polycrystalline,700,3.17,38.53,13120,2920,2055,60.64,12.128,5,218,0.000471,21600,0.117
10.1007/978-3-540-88201-5_24,0.00227,-96,0.28,Sr1Nd0.17Ti0.83O3,"solid state reaction, air",polycrystalline,700,3.87,39.97,4528,3337,2128,60.64,12.128,5,441,0.000406,9220,0.194
10.1007/978-3-540-88201-5_24,0.00195,-94,0.32,Sr1Nd0.2Ti0.8O3,"solid state reaction, air",polycrystalline,700,3.45,40.55,5035,3484,2153,60.64,12.128,5,512,0.000456,8910,0.253
10.1007/978-3-540-88201-5_24,0.00186,-81,0.24,Sr1Nd0.24Ti0.76O3,"solid state reaction, air",polycrystalline,700,3.76,41.32,5689,3673,2186,60.64,12.128,5,537,0.00035,6510,0.244
10.1007/978-3-540-88201-5_24,0.00833,-192,0.44,Sr1Dy0.08Ti0.92O3,"solid state reaction, air",polycrystalline,1000,2.97,38.53,13120,2920,2055,60.64,12.128,5,120,0.000441,36700,0.099
10.1007/978-3-540-88201-5_24,0.00418,-142,0.48,Sr1Nd0.17Ti0.83O3,"solid state reaction, air",polycrystalline,1000,3.397,39.97,4528,3337,2128,60.64,12.128,5,239,0.000481,20100,0.172
10.1007/978-3-540-88201-5_24,0.00395,-140,0.5,Sr1Nd0.2Ti0.8O3,"solid state reaction, air",polycrystalline,1000,3.197,40.55,5035,3484,2153,60.64,12.128,5,253,0.000496,19600,0.193
10.1007/978-3-540-88201-5_24,0.00319,-124,0.48,Sr1Nd0.24Ti0.76O3,"solid state reaction, air",polycrystalline,1000,3.22,41.32,5689,3673,2186,60.64,12.128,5,313,0.000481,15400,0.237
10.1007/s10854-011-0574-8,1400,98,2.05E-07,W1O3,Solid state reaction,polycrystalline,300,,57.96,674900,5639,3511,422.94,13.217,32,0.000713,6.83E-10,9590,
10.1007/s10854-011-0574-8,1250,93,2.06E-07,W0.99O2.97Co0.02O0.03,Solid state reaction,polycrystalline,300,,57.65,670200,5615,3500,422.94,13.217,32,0.000802,6.88E-10,8570,
10.1007/s10854-011-0574-8,114,103,2.79E-06,W0.95O2.95Co0.1O0.15,Solid state reaction,polycrystalline,300,,55.45,646800,5484,3437,422.94,13.217,32,0.00873,9.31E-09,10700,
10.1007/s10854-011-0574-8,561,104,5.77E-07,W0.9O2.7Co0.2O0.3,Solid state reaction,polycrystalline,300,,54.94,627100,5394,3402,422.94,13.217,32,0.00178,1.92E-09,10800,
10.1007/s10854-011-0574-8,810,108,5.72E-07,W1O3,Solid state reaction,polycrystalline,400,,57.96,674900,5639,3511,422.94,13.217,32,0.00123,1.43E-09,11600,
10.1007/s10854-011-0574-8,708,97,5.32E-07,W0.99O2.97Co0.02O0.03,Solid state reaction,polycrystalline,400,,57.65,670200,5615,3500,422.94,13.217,32,0.00141,1.33E-09,9420,
10.1007/s10854-011-0574-8,99.4,106,4.52E-06,W0.95O2.95Co0.1O0.15,Solid state reaction,polycrystalline,400,,55.45,646800,5484,3437,422.94,13.217,32,0.01,1.13E-08,11200,
10.1007/s10854-011-0574-8,176,106,2.54E-06,W0.9O2.7Co0.2O0.3,Solid state reaction,polycrystalline,400,,54.94,627100,5394,3402,422.94,13.217,32,0.00569,6.34E-09,11100,
10.1007/s10854-011-0574-8,108,125,1.01E-05,W1O3,Solid state reaction,polycrystalline,700,,57.96,674900,5639,3511,422.94,13.217,32,0.00922,1.44E-08,15600,
10.1007/s10854-011-0574-8,86,114,1.05E-05,W0.99O2.97Co0.02O0.03,Solid state reaction,polycrystalline,700,,57.65,670200,5615,3500,422.94,13.217,32,0.012,1.50E-08,12900,
10.1007/s10854-011-0574-8,20.2,120,4.99E-05,W0.95O2.95Co0.1O0.15,Solid state reaction,polycrystalline,700,,55.45,646800,5484,3437,422.94,13.217,32,0.049,7.13E-08,14400,
10.1007/s10854-011-0574-8,52.1,122,1.99E-05,W0.9O2.7Co0.2O0.3,Solid state reaction,polycrystalline,700,,54.94,627100,5394,3402,422.94,13.217,32,0.019,2.84E-08,14800,
10.1007/s10854-011-0574-8,64.9,161,3.99E-05,W1O3,Solid state reaction,polycrystalline,1000,,57.96,674900,5639,3511,422.94,13.217,32,0.015,3.99E-08,25900,
10.1007/s10854-011-0574-8,36.4,114,3.56E-05,W0.99O2.97Co0.02O0.03,Solid state reaction,polycrystalline,1000,,57.65,670200,5615,3500,422.94,13.217,32,0.027,3.56E-08,13000,
10.1007/s10854-011-0574-8,15.9,126,9.93E-05,W0.95O2.95Co0.1O0.15,Solid state reaction,polycrystalline,1000,,55.45,646800,5484,3437,422.94,13.217,32,0.063,9.93E-08,15800,
10.1007/s10854-011-0574-8,35.7,124,4.32E-05,W0.9O2.7Co0.2O0.3,Solid state reaction,polycrystalline,1000,,54.94,627100,5394,3402,422.94,13.217,32,0.028,4.32E-08,15400,
10.1007/s11664-009-0735-1,0.00152,-83,0.14,Mg2Si0.98Bi0.02,"solid state reaction, He/H2",polycrystalline,300,7.13,26.77,3061000,5072,957.2,258.55,21.546,12,658,0.000452,6870,0.068
10.1007/s11664-009-0735-1,0.0015,-83,0.14,Mg2Si0.6Ge0.4Bi0.02,"solid state reaction, He/H2",polycrystalline,300,2.98,32.68,2694000,5169,1229,258.35,21.529,12,667,0.000459,6890,0.164
10.1007/s11664-009-0735-1,1.24,26,1.64E-05,Mg2Si0.98Ag0.02,"solid state reaction, He/H2",polycrystalline,300,7.83,26.1,353300,4954,699.7,258.55,21.546,12,0.806,5.45E-08,676,7.54E-05
10.1007/s11664-009-0735-1,0.051,30,0.000541,Mg2Si0.6Ge0.4Ag0.02,"solid state reaction, He/H2",polycrystalline,300,4.11,32.01,493400,5075,1026,258.35,21.529,12,19.5,1.80E-06,925,0.00347
10.1007/s11664-009-0735-1,0.00121,-110,0.4,Mg2Si0.98Bi0.02,"solid state reaction, He/H2",polycrystalline,400,5.63,26.77,3061000,5072,957.2,258.55,21.546,12,826,0.00101,12200,0.143
10.1007/s11664-009-0735-1,0.00127,-118,0.43,Mg2Si0.6Ge0.4Bi0.02,"solid state reaction, He/H2",polycrystalline,400,2.62,32.68,2694000,5169,1229,258.35,21.529,12,787,0.00109,13800,0.293
10.1007/s11664-009-0735-1,0.413,178,0.00307,Mg2Si0.98Ag0.02,"solid state reaction, He/H2",polycrystalline,400,6.06,26.1,353300,4954,699.7,258.55,21.546,12,2.421,7.67E-06,31700,0.00039
10.1007/s11664-009-0735-1,0.028,158,0.04,Mg2Si0.6Ge0.4Ag0.02,"solid state reaction, He/H2",polycrystalline,400,3.09,32.01,493400,5075,1026,258.35,21.529,12,35.2,8.78E-05,24900,0.011
10.1007/s11664-009-0735-1,0.00125,-175,1.72,Mg2Si0.98Bi0.02,"solid state reaction, He/H2",polycrystalline,700,3.6,26.77,3061000,5072,957.2,258.55,21.546,12,802,0.00245,30600,0.38
10.1007/s11664-009-0735-1,0.00137,-176,1.59,Mg2Si0.6Ge0.4Bi0.02,"solid state reaction, He/H2",polycrystalline,700,1.94,32.68,2694000,5169,1229,258.35,21.529,12,730,0.00227,31000,0.643
10.1007/s11664-009-0735-1,0.04,149,0.04,Mg2Si0.98Ag0.02,"solid state reaction, He/H2",polycrystalline,700,3.67,26.1,353300,4954,699.7,258.55,21.546,12,25.2,5.59E-05,22200,0.012
10.1007/s11664-009-0735-1,0.015,319,0.48,Mg2Si0.6Ge0.4Ag0.02,"solid state reaction, He/H2",polycrystalline,700,2.57,32.01,493400,5075,1026,258.35,21.529,12,67.1,0.000682,102000,0.045
10.1007/s11664-009-0735-1,0.00186,-212,2.43,Mg2Si0.98Bi0.02,"solid state reaction, He/H2",polycrystalline,1000,2.75,26.77,3061000,5072,957.2,258.55,21.546,12,539,0.00243,45100,0.478
10.1007/s11664-009-0735-1,0.0022,-188,1.6,Mg2Si0.6Ge0.4Bi0.02,"solid state reaction, He/H2",polycrystalline,1000,1.73,32.68,2694000,5169,1229,258.35,21.529,12,455,0.0016,35200,0.641
10.1007/s11664-009-0735-1,0.0066,192,0.56,Mg2Si0.98Ag0.02,"solid state reaction, He/H2",polycrystalline,1000,3.16,26.1,353300,4954,699.7,258.55,21.546,12,152,0.000559,36900,0.117
10.1007/s11664-009-0735-1,0.00544,224,0.92,Mg2Si0.6Ge0.4Ag0.02,"solid state reaction, He/H2",polycrystalline,1000,3.48,32.01,493400,5075,1026,258.35,21.529,12,184,0.000922,50200,0.129
10.1007/s11664-009-0815-2,0.107,277,0.02,Cu1Fe0.9Cr0.1O2,Solid state reaction,polycrystalline,300,,37.75,6756,1683,1344,136.95,11.412,12,9.339,7.17E-05,76800,
10.1007/s11664-009-0815-2,0.0018,98,0.16,Cu1Rh0.9Mg0.1O2,Solid state reaction,polycrystalline,300,,47.65,485900000,2250,4486,140.56,11.713,12,557,0.000531,9540,
10.1007/s11664-009-0815-2,0.197,300,0.01,Cu1Cr0.98Mg0.02O2,Solid state reaction,polycrystalline,300,,36.75,8512,1883,2174,131.12,10.927,12,5.085,4.58E-05,90000,
10.1007/s11664-009-0815-2,0.051,-132,0.01,Zn0.9975Al0.0025O1,"solid state reaction, vacuum",polycrystalline,300,,40.64,10770,1363,1620,47.62,11.905,4,19.6,3.41E-05,17400,
10.1007/s11664-009-0815-2,0.015,-115,0.03,Zn0.995Al0.005O1,"solid state reaction, vacuum",polycrystalline,300,,40.59,10760,1362,1619,47.62,11.905,4,66.2,8.82E-05,13300,
10.1007/s11664-009-0815-2,0.01,-114,0.04,Zn0.9925Al0.0075O1,"solid state reaction, vacuum",polycrystalline,300,,40.55,10740,1362,1618,47.62,11.905,4,97,0.000126,13000,
10.1007/s11664-009-0815-2,0.00678,-111,0.05,Zn0.99Al0.01O1,"solid state reaction, vacuum",polycrystalline,300,,40.5,10730,1362,1616,47.62,11.905,4,148,0.000182,12300,
10.1007/s11664-009-0815-2,0.021,-145,0.03,Zn0.97Al0.03O1,"solid state reaction, vacuum",polycrystalline,300,,40.11,10610,1360,1608,47.62,11.905,4,46.7,9.81E-05,21000,
10.1007/s11664-009-0815-2,0.07,299,0.05,Cu1Fe0.9Cr0.1O2,Solid state reaction,polycrystalline,400,,37.75,6756,1683,1344,136.95,11.412,12,14.3,0.000128,89400,
10.1007/s11664-009-0815-2,0.00194,115,0.27,Cu1Rh0.9Mg0.1O2,Solid state reaction,polycrystalline,400,,47.65,485900000,2250,4486,140.56,11.713,12,516,0.000684,13300,
10.1007/s11664-009-0815-2,0.119,321,0.03,Cu1Cr0.98Mg0.02O2,Solid state reaction,polycrystalline,400,,36.75,8512,1883,2174,131.12,10.927,12,8.396,8.67E-05,103000,
10.1007/s11664-009-0815-2,0.05,-135,0.01,Zn0.9975Al0.0025O1,"solid state reaction, vacuum",polycrystalline,400,,40.64,10770,1363,1620,47.62,11.905,4,19.8,3.61E-05,18200,
10.1007/s11664-009-0815-2,0.015,-128,0.04,Zn0.995Al0.005O1,"solid state reaction, vacuum",polycrystalline,400,,40.59,10760,1362,1619,47.62,11.905,4,66.5,0.00011,16500,
10.1007/s11664-009-0815-2,0.01,-123,0.06,Zn0.9925Al0.0075O1,"solid state reaction, vacuum",polycrystalline,400,,40.55,10740,1362,1618,47.62,11.905,4,97,0.000148,15300,
10.1007/s11664-009-0815-2,0.00709,-117,0.08,Zn0.99Al0.01O1,"solid state reaction, vacuum",polycrystalline,400,,40.5,10730,1362,1616,47.62,11.905,4,141,0.000194,13700,
10.1007/s11664-009-0815-2,0.021,-150,0.04,Zn0.97Al0.03O1,"solid state reaction, vacuum",polycrystalline,400,,40.11,10610,1360,1608,47.62,11.905,4,46.6,0.000105,22500,
10.1007/s11664-009-0815-2,0.056,321,0.13,Cu1Fe0.9Cr0.1O2,Solid state reaction,polycrystalline,700,,37.75,6756,1683,1344,136.95,11.412,12,18,0.000185,103000,
