doi,compound name,formula,group,organic,inorganic,iupac,dimensionality,sample type,code,level of theory,Exchange-correlation functional,k-point grid,level of relativity,basis set definition,numerical accuracy,synthesis starting materials,synthesis product,synthesis description,experimental method,experimental description
10.1002/adma.201505224,Bis(cyclohexylammonium) lead bromide,(C6H14N)2PbBr4,"(CHA)2PbBr4, bis(cyclohexylaminium) tetrabromoplumbate(II)",C6H14N,"PbBr4, Lead bromide",bis(cyclohexylaminium) lead (II) bromide,2,single crystal,,,,,,,,"Cyclohexylammonium bromide, PbBr2, HBr","large, pale-yellow crystals","Cyclohexylammonium bromide (20 mmol, 3.60 g), and PbBr2 (10 mmol, 3.67 g) were dissolved in HBr aqueous solution (40%, 100 mL). A clear solution resulted after refluxing the mixture at 353 K for 3 hrs. Crystals of (CHA)2PbBr4 were obtained by cooling the solution at a rate of 0.125 K/h.",UV-vis absorption (diffuse reflectance),
10.1002/adma.201505224,Bis(cyclohexylammonium) lead iodide,(C6H14N)2PbI4,"(CHA)2PbI4, bis(cyclohexylaminium) tetraiodoplumbate(II)",C6H14N,"PbI4, Lead iodide",bis(cyclohexylaminium) lead (II) iodide,2,single crystal,,,,,,,,"cyclohexylamine, PbI2, HI","Large, orange crystals","cyclohexylamine (10 mmol, 0.99 g) and PbI2 (5 mmol, 2.31 g) were mixed in HI aqueous solution (45%, 60 mL). The resulting precipitate dissolved after the solution was refluxed for 4 hours at 363 K. Large crystals were grown by cooling the solution at a rate of 0.125 K/h.",Single crystal X-ray diffraction,
10.1002/adma.201505224,Bis(cyclohexylammonium) lead iodide,(C6H14N)2PbI4,"(CHA)2PbI4, bis(cyclohexylaminium) tetraiodoplumbate(II)",C6H14N,"PbI4, Lead iodide",bis(cyclohexylaminium) lead (II) iodide,2,single crystal,,,,,,,,"cyclohexylamine, PbI2, HI","Large, orange crystals","cyclohexylamine (10 mmol, 0.99 g) and PbI2 (5 mmol, 2.31 g) were mixed in HI aqueous solution (45%, 60 mL). The resulting precipitate dissolved after the solution was refluxed for 4 hours at 363 K. Large crystals were grown by cooling the solution at a rate of 0.125 K/h.",Single crystal X-ray diffraction,
10.1002/adma.201505224,Bis(cyclohexylammonium) lead iodide,(C6H14N)2PbI4,"(CHA)2PbI4, bis(cyclohexylaminium) tetraiodoplumbate(II)",C6H14N,"PbI4, Lead iodide",bis(cyclohexylaminium) lead (II) iodide,2,bulk polycrystalline,,,,,,,,"cyclohexylamine, PbI2, HI","Large, orange crystals","cyclohexylamine (10 mmol, 0.99 g) and PbI2 (5 mmol, 2.31 g) were mixed in HI aqueous solution (45%, 60 mL). The resulting precipitate dissolved after the solution was refluxed for 4 hours at 363 K. Large crystals were grown by cooling the solution at a rate of 0.125 K/h.",UV-vis absorption (diffuse reflectance),
10.1002/adma.201505224,Bis(cyclohexylammonium) lead iodide,(C6H14N)2PbI4,"(CHA)2PbI4, bis(cyclohexylaminium) tetraiodoplumbate(II)",C6H14N,"PbI4, Lead iodide",bis(cyclohexylaminium) lead (II) iodide,2,unknown,CASTEP Program,DFT,GGA-PBE,3x3x3,,Norm-conserving pseudopotential,energy cutoff: 820 eV,"cyclohexylamine, PbI2, HI","Large, orange crystals","First, cyclohexylamine (10 mmol, 0.99 g) and PbI2 (5 mmol, 2.31 g) were mixed in HI aqueous solution (45%, 60 mL). The resulting precipitate dissolved after the solution was refluxed for 4 hours at 363 K. Large crystals soon grew by cooling the solution at a rate of 0.125 K/h.",,
10.1002/adma.201505224,Bis(cyclohexylammonium) lead iodide,(C6H14N)2PbI4,"(CHA)2PbI4, bis(cyclohexylaminium) tetraiodoplumbate(II)",C6H14N,"PbI4, Lead iodide",bis(cyclohexylaminium) lead (II) iodide,2,bulk polycrystalline,,,,,,,,"cyclohexylamine, PbI2, HI","Large, orange crystals","cyclohexylamine (10 mmol, 0.99 g) and PbI2 (5 mmol, 2.31 g) were mixed in HI aqueous solution (45%, 60 mL). The resulting precipitate dissolved after the solution was refluxed for 4 hours at 363 K. Large crystals were grown by cooling the solution at a rate of 0.125 K/h.",UV-vis absorption (diffuse reflectance),
10.1002/adma.201606405,Formamidinium lead bromide,CH5N2PbBr3,"Methanimidamide tribromoplumbate(II), FAPBr3, FAPBr, (FA)PbBr3 HC(NH2)2PbBr3, (NH2)2CHPbBr3",CH5N2,"PbBr3, Lead bromide",Imidoformamidinium lead(II) bromide,3,film,,,,,,,,"FABr, PbBr2, CsBr, toluene, THF",Thin film/Solution,"Add mixture of precursors drop-wise into the toluene solution for NC formation, and centrifuge the final product. Disperse NCs in THF with a concentration of 20 mg mL−1. Refer to Page 2 paragraph 4; Figure 2(a).",UV-Vis absorption,Instrumental details not provided. Refer to Page 3 paragraph 2; Figure 2(d); SI Table S2.
10.1002/adma.201606405,Formamidinium(1-x) cesium(x) lead bromide: x = 0.6,FA(0.4)Cs(0.6)PbBr3,"Methanimidamide cesium tribromoplumbate(II), FA0.4Cs0.6PBr3, FAPBr, (FA)CsPbBr3 HC(NH2)2CsPbBr3, (NH2)2CHPbBr3",CH5N2,"Cs0.6PbBr3, Lead bromide",Imidoformamidinium cesium lead(II) bromide,3,film,,,,,,,,"FABr, PbBr2, CsBr, toluene, THF",Thin film,"Add mixture of precursors drop-wise into the toluene solution for NC formation, and centrifuge the final product. Disperse NCs in THF with a concentration of 20 mg mL−1. Refer to Page 2 paragraph 4; Figure 2(a).",Photoluminescence,Instrumental details not provided. Refer to Page 3 paragraph 2; Figure 2(e); SI Table S2.
10.1002/adma.201906571,Bis(phenethylammonium) tris(formamidinium) lead bromide,(PEA)2(FA)3Pb4Br13,"(PEA)2(FA)3Pb4Br13, bis(phenethylaminium) tris(diaminomethanide) tridecabromo tetraplumbate(II)","C8H12N, CH5N2","Pb4Br13, Lead bromide",bis(phenethylaminium) tris(diaminomethanide) lead bromide,3,film,,,,,,,,,,,UV-VIS Spectroscopy,Films of quasi-2D perovskite (PEA)2(FA)3Pb4Br13 were prepared from the DMSO and NMP solvents to measure their absorbance vs wavelength intensity.
10.1002/adma.201906571,Bis(phenethylammonium) tris(formamidinium) lead bromide,(PEA)2(FA)3Pb4Br13,"(PEA)2(FA)3Pb4Br13, bis(phenethylaminium) tris(diaminomethanide) tridecabromo tetraplumbate(II)","C8H12N, CH5N2","Pb4Br13, Lead bromide",bis(phenethylaminium) tris(diaminomethanide) lead bromide,3,film,,,,,,,,,,,Photoluminescence,Optical properties of quasi-2D perovskite (PEA)2(FA)3Pb4Br13 films prepared from solvent DMSO and NMP and were then measured via Photoluminescence to obtain their PL intensity at certain wavelengths.
10.1002/adma.202005868,bis[S-(−)-1-(1-naphthyl)ethylammonium] lead bromide,S-[C10H7CH(CH3)NH3]2PbBr4,"S-NPB, bis[S-(−)-1-(1-naphthyl)ethylammonium] tetrabromoplumbate(II), (S-NEA)2PbBr4",C12NH14,"PbBr4, Lead bromide",bis(S-(−)-1-(1-naphthyl)ethylammonium) lead (II) bromide,2,single crystal,,,,,,,,"(S)-(−)-1-(1-naphthyl)ethylamine (>99%, Sigma Aldrich), lead bromide (PbBr2, 99.99%, TCI chemicals) , and hydrobromic acid (HBr) (48 wt% in H2O, >99.99%, Sigma Aldrich)",[S-(−)-1-(1-naphthyl)ethylammonium]2PbBr4,"To grow S-NPB perovskite crystals, stoichiometric amounts of PbBr2 (90  mg, 0.24  mmol) and (S)-(−)-1-
(1-naphthyl)ethylamine (78 µL, 0.48  mmol) were dissolved in aq. HBr (1.0 mL) and deionized water (2.4 mL) in a sealed vial at 95 °C. The hot solution was slowly cooled to room temperature (21  °C) over a period of 24 h in a water bath, resulting in the formation of colorless plate-like S-NPB single crystals.",Differential Scanning Calorimetry,"DSC: Differential Scanning Calorimetry: DSC measurements were performed using a TA Discovery DSC instrument using various ramping rates and temperature ranges (as described in the main text) using a hermetically sealed aluminum pan and lid. Prior to experiments, the DSC setup was calibrated with metallic indium (melting temperature: 156.6 °C; enthalpy of melting: 28.71 J g−1), which upon repeating the experiment showed an acceptable temperature offset of 0.2  °C and melting enthalpy offset of 0.04%. Calibration and the above measurement were carried out at a ramp rate of 5 °C min−1. DSC analyses of crystalline S-NPB and rac-NPB perovskites were carried out by hermetically sealing corresponding crystals (≈5.0 mg) in aluminum pan/lid, and ramping temperature from 25 to 250  °C at a ramp rate of 5  °C min−1. For measurement of S-NPB and R-NPB glasses, samples were prepared by melting S-/R-NPB crystals (≈5.0  mg) in an open aluminum pan and quickly placing it on a metallic steel bench to quench to room temperature. After hermetic sealing, the glassy samples were exposed to a heating cycle with ramp rates of  5°C min−1 over a temperature range from 25 to 185 °C and heated isothermally at 185 °C for a minute, before cooling back to room temperature at ramp rates of 1, 5, and 20  °C min−1. Since the glass transition occurred over a temperature range, the Tg was determined using the midpoint halfheight method. The Tx, Tm, and Td temperatures were calculated using the intersection between the corresponding DSC peak onset with its horizontal baseline. For Tm, the onset temperature signifies the melting temperature of the sample under consideration, whereas the peak temperature corresponds to complete melting of the sample inside the apparatus. The enthalpy of crystallization and melting were calculated by measuring the area under the curve relating heat flow (W g−1)/ramp rate (°C s−1) and temperature.

Thermogravimetric Analysis: TGA measurements were performed on a TA Q50 instrument using a 5 °C min−1 ramping rate from 25 to 300 °C under nitrogen gas flow (40 mL min−1) with samples (≈4.5 mg) of single crystals of S-NPB and rac-NPB perovskite. Glassy S-NPB perovskite sample (3.9 mg) for TGA measurement was prepared by scratching off the melt-quenched glass prepared on soda lime glass substrates"
10.1002/adma.202005868,bis[S-(−)-1-(1-naphthyl)ethylammonium] lead bromide,S-[C10H7CH(CH3)NH3]2PbBr4,"S-NPB, bis[S-(−)-1-(1-naphthyl)ethylammonium] tetrabromoplumbate(II), (S-NEA)2PbBr4",C12NH14,"PbBr4, Lead bromide",bis(S-(−)-1-(1-naphthyl)ethylammonium) lead (II) bromide,2,bulk polycrystalline,,,,,,,,"(S)-(−)-1-(1-naphthyl)ethylamine (>99%, Sigma Aldrich), lead bromide (PbBr2, 99.99%, TCI chemicals) , and hydrobromic acid (HBr) (48 wt% in H2O, >99.99%, Sigma Aldrich)",[S-(−)-1-(1-naphthyl)ethylammonium]2PbBr4,"To grow S-NPB perovskite crystals, stoichiometric amounts of PbBr2 (90  mg, 0.24  mmol) and (S)-(−)-1-
(1-naphthyl)ethylamine (78 µL, 0.48  mmol) were dissolved in aq. HBr (1.0 mL) and deionized water (2.4 mL) in a sealed vial at 95 °C. The hot solution was slowly cooled to room temperature (21  °C) over a period of 24 h in a water bath, resulting in the formation of colorless plate-like S-NPB single crystals.",Differential Scanning Calorimetry,"DSC: Differential Scanning Calorimetry: DSC measurements were performed using a TA Discovery DSC instrument using various ramping rates and temperature ranges (as described in the main text) using a hermetically sealed aluminum pan and lid. Prior to experiments, the DSC setup was calibrated with metallic indium (melting temperature: 156.6 °C; enthalpy of melting: 28.71 J g−1), which upon repeating the experiment showed an acceptable temperature offset of 0.2  °C and melting enthalpy offset of 0.04%. Calibration and the above measurement were carried out at a ramp rate of 5 °C min−1. DSC analyses of crystalline S-NPB and rac-NPB perovskites were carried out by hermetically sealing corresponding crystals (≈5.0 mg) in aluminum pan/lid, and ramping temperature from 25 to 250  °C at a ramp rate of 5  °C min−1. For measurement of S-NPB and R-NPB glasses, samples were prepared by melting S-/R-NPB crystals (≈5.0  mg) in an open aluminum pan and quickly placing it on a metallic steel bench to quench to room temperature. After hermetic sealing, the glassy samples were exposed to a heating cycle with ramp rates of  5°C min−1 over a temperature range from 25 to 185 °C and heated isothermally at 185 °C for a minute, before cooling back to room temperature at ramp rates of 1, 5, and 20  °C min−1. Since the glass transition occurred over a temperature range, the Tg was determined using the midpoint halfheight method. The Tx, Tm, and Td temperatures were calculated using the intersection between the corresponding DSC peak onset with its horizontal baseline. For Tm, the onset temperature signifies the melting temperature of the sample under consideration, whereas the peak temperature corresponds to complete melting of the sample inside the apparatus. The enthalpy of crystallization and melting were calculated by measuring the area under the curve relating heat flow (W g−1)/ramp rate (°C s−1) and temperature.

Thermogravimetric Analysis: TGA measurements were performed on a TA Q50 instrument using a 5 °C min−1 ramping rate from 25 to 300 °C under nitrogen gas flow (40 mL min−1) with samples (≈4.5 mg) of single crystals of S-NPB and rac-NPB perovskite. Glassy S-NPB perovskite sample (3.9 mg) for TGA measurement was prepared by scratching off the melt-quenched glass prepared on soda lime glass substrates"
10.1002/adma.202005868,bis[S-(−)-1-(1-naphthyl)ethylammonium] lead bromide,S-[C10H7CH(CH3)NH3]2PbBr4,"S-NPB, bis[S-(−)-1-(1-naphthyl)ethylammonium] tetrabromoplumbate(II), (S-NEA)2PbBr4",C12NH14,"PbBr4, Lead bromide",bis(S-(−)-1-(1-naphthyl)ethylammonium) lead (II) bromide,2,unknown,,,,,,,,"(S)-(−)-1-(1-naphthyl)ethylamine (>99%, Sigma Aldrich), lead bromide (PbBr2, 99.99%, TCI chemicals) , and hydrobromic acid (HBr) (48 wt% in H2O, >99.99%, Sigma Aldrich)",[S-(−)-1-(1-naphthyl)ethylammonium]2PbBr4,"To grow S-NPB perovskite crystals, stoichiometric amounts of PbBr2 (90  mg, 0.24  mmol) and (S)-(−)-1-
(1-naphthyl)ethylamine (78 µL, 0.48  mmol) were dissolved in aq. HBr (1.0 mL) and deionized water (2.4 mL) in a sealed vial at 95 °C. The hot solution was slowly cooled to room temperature (21  °C) over a period of 24 h in a water bath, resulting in the formation of colorless plate-like S-NPB single crystals.",Differential Scanning Calorimetry,"DSC: Differential Scanning Calorimetry: DSC measurements were performed using a TA Discovery DSC instrument using various ramping rates and temperature ranges (as described in the main text) using a hermetically sealed aluminum pan and lid. Prior to experiments, the DSC setup was calibrated with metallic indium (melting temperature: 156.6 °C; enthalpy of melting: 28.71 J g−1), which upon repeating the experiment showed an acceptable temperature offset of 0.2  °C and melting enthalpy offset of 0.04%. Calibration and the above measurement were carried out at a ramp rate of 5 °C min−1. DSC analyses of crystalline S-NPB and rac-NPB perovskites were carried out by hermetically sealing corresponding crystals (≈5.0 mg) in aluminum pan/lid, and ramping temperature from 25 to 250  °C at a ramp rate of 5  °C min−1. For measurement of S-NPB and R-NPB glasses, samples were prepared by melting S-/R-NPB crystals (≈5.0  mg) in an open aluminum pan and quickly placing it on a metallic steel bench to quench to room temperature. After hermetic sealing, the glassy samples were exposed to a heating cycle with ramp rates of  5°C min−1 over a temperature range from 25 to 185 °C and heated isothermally at 185 °C for a minute, before cooling back to room temperature at ramp rates of 1, 5, and 20  °C min−1. Since the glass transition occurred over a temperature range, the Tg was determined using the midpoint halfheight method. The Tx, Tm, and Td temperatures were calculated using the intersection between the corresponding DSC peak onset with its horizontal baseline. For Tm, the onset temperature signifies the melting temperature of the sample under consideration, whereas the peak temperature corresponds to complete melting of the sample inside the apparatus. The enthalpy of crystallization and melting were calculated by measuring the area under the curve relating heat flow (W g−1)/ramp rate (°C s−1) and temperature.

Thermogravimetric Analysis: TGA measurements were performed on a TA Q50 instrument using a 5 °C min−1 ramping rate from 25 to 300 °C under nitrogen gas flow (40 mL min−1) with samples (≈4.5 mg) of single crystals of S-NPB and rac-NPB perovskite. Glassy S-NPB perovskite sample (3.9 mg) for TGA measurement was prepared by scratching off the melt-quenched glass prepared on soda lime glass substrates"
10.1002/adma.202005868,bis[S-(−)-1-(1-naphthyl)ethylammonium] lead bromide,S-[C10H7CH(CH3)NH3]2PbBr4,"S-NPB, bis[S-(−)-1-(1-naphthyl)ethylammonium] tetrabromoplumbate(II), (S-NEA)2PbBr4",C12NH14,"PbBr4, Lead bromide",bis(S-(−)-1-(1-naphthyl)ethylammonium) lead (II) bromide,2,unknown,,,,,,,,"(S)-(−)-1-(1-naphthyl)ethylamine (>99%, Sigma Aldrich), lead bromide (PbBr2, 99.99%, TCI chemicals) , and hydrobromic acid (HBr) (48 wt% in H2O, >99.99%, Sigma Aldrich)",[S-(−)-1-(1-naphthyl)ethylammonium]2PbBr4,"To grow S-NPB perovskite crystals, stoichiometric amounts of PbBr2 (90  mg, 0.24  mmol) and (S)-(−)-1-
(1-naphthyl)ethylamine (78 µL, 0.48  mmol) were dissolved in aq. HBr (1.0 mL) and deionized water (2.4 mL) in a sealed vial at 95 °C. The hot solution was slowly cooled to room temperature (21  °C) over a period of 24 h in a water bath, resulting in the formation of colorless plate-like S-NPB single crystals.",Differential Scanning Calorimetry,"DSC: Differential Scanning Calorimetry: DSC measurements were performed using a TA Discovery DSC instrument using various ramping rates and temperature ranges (as described in the main text) using a hermetically sealed aluminum pan and lid. Prior to experiments, the DSC setup was calibrated with metallic indium (melting temperature: 156.6 °C; enthalpy of melting: 28.71 J g−1), which upon repeating the experiment showed an acceptable temperature offset of 0.2  °C and melting enthalpy offset of 0.04%. Calibration and the above measurement were carried out at a ramp rate of 5 °C min−1. DSC analyses of crystalline S-NPB and rac-NPB perovskites were carried out by hermetically sealing corresponding crystals (≈5.0 mg) in aluminum pan/lid, and ramping temperature from 25 to 250  °C at a ramp rate of 5  °C min−1. For measurement of S-NPB and R-NPB glasses, samples were prepared by melting S-/R-NPB crystals (≈5.0  mg) in an open aluminum pan and quickly placing it on a metallic steel bench to quench to room temperature. After hermetic sealing, the glassy samples were exposed to a heating cycle with ramp rates of  5°C min−1 over a temperature range from 25 to 185 °C and heated isothermally at 185 °C for a minute, before cooling back to room temperature at ramp rates of 1, 5, and 20  °C min−1. Since the glass transition occurred over a temperature range, the Tg was determined using the midpoint halfheight method. The Tx, Tm, and Td temperatures were calculated using the intersection between the corresponding DSC peak onset with its horizontal baseline. For Tm, the onset temperature signifies the melting temperature of the sample under consideration, whereas the peak temperature corresponds to complete melting of the sample inside the apparatus. The enthalpy of crystallization and melting were calculated by measuring the area under the curve relating heat flow (W g−1)/ramp rate (°C s−1) and temperature.

Thermogravimetric Analysis: TGA measurements were performed on a TA Q50 instrument using a 5 °C min−1 ramping rate from 25 to 300 °C under nitrogen gas flow (40 mL min−1) with samples (≈4.5 mg) of single crystals of S-NPB and rac-NPB perovskite. Glassy S-NPB perovskite sample (3.9 mg) for TGA measurement was prepared by scratching off the melt-quenched glass prepared on soda lime glass substrates"
